title,domestic_gross,foreign_gross
I Don't Know How She Does It,9700000.0,20900000.0
What's Your Number?,14000000.0,16399999.0
Drive Angry,10700000.0,18200000.0
Carnage (2011),2500000.0,25100000.0
A Dangerous Method,5700000.0,21800000.0
The Thing (2011),16900000.0,10500000.0
The Eagle,19500000.0,7600000.0
Legend of the Fist: The Return of Chen Zhen,50400.0,26500000.0
Apollo 18,17700000.0,7900000.0
Biutiful,5100000.0,20000000.0
Your Highness,21600000.0,3300000.0
The Rum Diary,13100000.0,10800000.0
The Women on the 6th Floor,720000.0,22500000.0
Potiche,1600000.0,21600000.0
Warrior,13700000.0,9400000.0
Young Adult,16300000.0,6600000.0
Sarah's Key,7700000.0,13400000.0
The Way Back,2700000.0,17600000.0
A Separation,7100000.0,12800000.0
The Guard,5400000.0,14200000.0
Margin Call,5400000.0,14200000.0
Glee The 3D Concert Movie,11900000.0,6800000.0
Shame,3900000.0,13800000.0
13 Assassins,803000.0,16800000.0
Hoodwinked Too! Hood vs. Evil,10100000.0,6800000.0
The Heir Apparent: Largo Winch,10400.0,16900000.0
The Last Godfather,164000.0,16600000.0
Delhi Belly,1500000.0,15200000.0
Melancholia,3000000.0,12900000.0
Judy Moody and the NOT Bummer Summer,15000000.0,678000.0
The Conspirator,11500000.0,3900000.0
Anonymous,4500000.0,10900000.0
Ip Man 2: Legend of the Grandmaster,206000.0,14900000.0
The Housemaid,158000.0,14600000.0
Desert Flower,44300.0,14600000.0
Pina,3500000.0,11100000.0
Beginners,5800000.0,8500000.0
My Afternoons with Margueritte,667000.0,13600000.0
I Saw the Devil,129000.0,12600000.0
The Hedgehog,708000.0,12000000.0
Gainsbourg: A Heroic Life,233000.0,12000000.0
The Warring States,69000.0,11800000.0
What Women Want (Wo Zhi Nu Run Xin),124000.0,11700000.0
Snow Flower and the Secret Fan,1300000.0,10000000.0
Win Win,10200000.0,652000.0
Flying Monsters,5700000.0,5100000.0
City of Life and Death,123000.0,10600000.0
Le Havre,612000.0,9900000.0
In a Better World,1000000.0,8600000.0
Trespass (2011),24100.0,9600000.0
Saving Private Perez,1400000.0,7900000.0
Point Blank,708000.0,8500000.0
Winter in Wartime,543000.0,8700000.0
Barney's Version (U.S. only),4400000.0,4000000.0
Outrage (2011),44700.0,8400000.0
Senna,1600000.0,6600000.0
Last Night,99000.0,7600000.0
The Big Year,7200000.0,244000.0
The Beaver,971000.0,6300000.0
The Princess of Montpensier,352000.0,6400000.0
Cave of Forgotten Dreams,5300000.0,1200000.0
Sex and Zen 3D: Extreme Ecstasy,153000.0,6200000.0
We Need to Talk About Kevin,1700000.0,4300000.0
Attack the Block,1000000.0,4800000.0
Even the Rain,518000.0,5300000.0
Young Goethe in Love,162000.0,5600000.0
11-11-11,32800.0,5700000.0
Certified Copy,1400000.0,4099999.0
Thank You (2011),464000.0,5000000.0
The Company Men,4400000.0,441000.0
Tucker & Dale Vs. Evil,224000.0,4500000.0
London Boulevard,16100.0,4600000.0
Dylan Dog: Dead of Night,1200000.0,3400000.0
The Names of Love,514000.0,4099999.0
Burke and Hare,4800.0,4300000.0
King of Devil's Island,7600.0,4200000.0
Bride Flight,501000.0,3700000.0
Trollhunter,253000.0,3900000.0
Carancho,85500.0,3900000.0
Like Crazy,3400000.0,336000.0
The Double,138000.0,3600000.0
Love Crime,540000.0,3100000.0
Incendies (U.S. only),2100000.0,1500000.0
Martha Marcy May Marlene,3000000.0,548000.0
Fireflies in the Garden,70600.0,3300000.0
Machine Gun Preacher,539000.0,2800000.0
The Last Circus,40500.0,3200000.0
From Prada to Nada,3000000.0,123000.0
Flypaper,5000.0,3100000.0
Take Shelter,1700000.0,1400000.0
The Greatest Miracle,555000.0,2500000.0
Rapt,45800.0,2900000.0
Pastorela,161000.0,2700000.0
The Double Hour,1500000.0,1200000.0
3 (2011),60000.0,2600000.0
Oranges and Sunshine,143000.0,2400000.0
Ong Bak 3,14900.0,2300000.0
Poetry,356000.0,1900000.0
The Tree,71200.0,2100000.0
"The Butcher, the Chef and the Swordsman",47900.0,2000000.0
Armadillo,14600.0,2000000.0
Brighton Rock,230000.0,1600000.0
A Somewhat Gentle Man,37700.0,1800000.0
The Topp Twins: Untouchable Girls,29300.0,1800000.0
Another Earth,1300000.0,456000.0
Chalet Girl,1700.0,1700000.0
Yamla Pagla Deewana,993000.0,600000.0
Uncle Boonmee Who Can Recall His Past Lives,184000.0,946000.0
London River,7200.0,1100000.0
When We Leave (Die Fremde),19600.0,1100000.0
Vanishing on 7th Street,22700.0,1000000.0
The Time That Remains,32900.0,1000000.0
Texas Killing Fields,45500.0,912000.0
Miral,373000.0,527000.0
Submarine,468000.0,397000.0
Mozart's Sister,708000.0,132000.0
Plastic Planet,3200.0,836000.0
Chillar Party,6300.0,826000.0
The First Grader,332000.0,382000.0
Dhobi Ghat (Mumbai Diaries),577000.0,102000.0
