movie_id,genres,movie_id,averagerating,numvotes,ordering
tt1966497,"Action,Musical,Romance",tt1966497,7.9,13,1
tt3093106,"Action,Musical,Sci-Fi",tt3093106,7.3,14,1
tt2658660,"Action,Musical,Thriller",tt2658660,6.6,12,1
tt1651321,"Action,Mystery",tt1651321,2.2,27,1
tt5785200,"Action,Mystery,Romance",tt5785200,2.8,600,1
tt0969653,"Action,Mystery,Sci-Fi",tt0969653,3.8,586,1
tt0944835,"Action,Mystery,Thriller",tt0944835,6.4,277204,1
tt3803110,"Action,Mystery,Western",tt3803110,4.9,25,1
tt1781948,"Action,Romance",tt1781948,7.6,779,1
tt1237836,"Action,Romance,Sci-Fi",tt1237836,6.8,5,1
tt1941684,"Action,Romance,Sport",tt1941684,4.8,314,1
tt1681370,"Action,Romance,Thriller",tt1681370,5.3,195,1
tt1974319,"Action,Romance,War",tt1974319,7.8,95,1
tt3094390,"Action,Romance,Western",tt3094390,5.5,13,1
tt1134669,"Action,Sci-Fi",tt1134669,5.1,24,1
tt0409847,"Action,Sci-Fi,Thriller",tt0409847,6.0,195889,1
tt2265116,"Action,Sci-Fi,War",tt2265116,2.1,305,1
tt1548021,"Action,Sci-Fi,Western",tt1548021,6.8,17,1
tt1740661,"Action,Sport",tt1740661,4.4,233,1
tt2431478,"Action,Sport,Thriller",tt2431478,8.1,19,1
tt2477866,"Action,Sport,War",tt2477866,5.0,19,1
tt0403935,"Action,Thriller",tt0403935,3.3,2862,1
tt1370312,"Action,Thriller,War",tt1370312,4.5,216,1
tt1754484,"Action,Thriller,Western",tt1754484,8.1,16,1
tt1378811,"Action,War",tt1378811,2.4,246,1
tt1753916,"Action,Western",tt1753916,7.1,12,1
tt3718824,"Adult,Horror",tt3718824,2.0,128,1
tt0400320,Adventure,tt0400320,7.9,18,1
tt1183352,"Adventure,Animation",tt1183352,6.7,415,1
tt1686865,"Adventure,Animation,Biography",tt1686865,6.3,304,1
tt0137204,"Adventure,Animation,Comedy",tt0137204,8.1,263,1
tt1729572,"Adventure,Animation,Documentary",tt1729572,6.6,28,1
tt1181840,"Adventure,Animation,Drama",tt1181840,7.0,5494,1
tt0811021,"Adventure,Animation,Family",tt0811021,4.0,165,1
tt10068158,"Adventure,Animation,Fantasy",tt10068158,6.8,22,1
tt1934331,"Adventure,Animation,History",tt1934331,6.1,10,1
tt5234428,"Adventure,Animation,Horror",tt5234428,7.8,737,1
tt2179678,"Adventure,Animation,Musical",tt2179678,3.3,31,1
tt0312305,"Adventure,Animation,Sci-Fi",tt0312305,5.1,287,1
tt1206331,"Adventure,Biography",tt1206331,5.7,46,1
tt1178665,"Adventure,Biography,Comedy",tt1178665,6.3,22033,1
tt2082507,"Adventure,Biography,Crime",tt2082507,8.9,41,1
tt1307990,"Adventure,Biography,Documentary",tt1307990,8.7,11,1
tt1212428,"Adventure,Biography,Drama",tt1212428,6.6,66475,1
tt3685570,"Adventure,Biography,Family",tt3685570,6.1,18,1
tt1735308,"Adventure,Biography,History",tt1735308,6.1,23,1
tt0484828,"Adventure,Comedy",tt0484828,3.0,186,1
tt1152286,"Adventure,Comedy,Crime",tt1152286,8.0,18,1
tt1645773,"Adventure,Comedy,Documentary",tt1645773,8.8,24,1
tt0359950,"Adventure,Comedy,Drama",tt0359950,7.3,275300,1
tt0493949,"Adventure,Comedy,Family",tt0493949,6.6,16086,1
tt0790628,"Adventure,Comedy,Fantasy",tt0790628,5.9,67549,1
tt1763270,"Adventure,Comedy,History",tt1763270,4.7,149,1
tt1273207,"Adventure,Comedy,Horror",tt1273207,5.4,4957,1
tt1226229,"Adventure,Comedy,Music",tt1226229,6.4,161653,1
tt2090626,"Adventure,Comedy,Musical",tt2090626,8.3,6,1
tt1601468,"Adventure,Comedy,Mystery",tt1601468,5.4,9,1
tt0329539,"Adventure,Comedy,Romance",tt0329539,6.1,73,1
tt0765485,"Adventure,Comedy,Sci-Fi",tt0765485,5.2,54,1
tt1600846,"Adventure,Comedy,Thriller",tt1600846,8.3,9,1
tt3989912,"Adventure,Comedy,War",tt3989912,6.0,738,1
tt0461336,"Adventure,Comedy,Western",tt0461336,6.0,1727,1
tt6343490,"Adventure,Crime",tt6343490,8.5,15,1
tt1505400,"Adventure,Crime,Documentary",tt1505400,7.8,8,1
tt0844866,"Adventure,Crime,Drama",tt0844866,3.9,257,1
tt1664691,"Adventure,Crime,Family",tt1664691,5.8,70,1
tt6628228,"Adventure,Crime,Horror",tt6628228,5.8,1229,1
tt3140634,"Adventure,Crime,Romance",tt3140634,2.3,9,1
tt1422136,"Adventure,Crime,Thriller",tt1422136,6.3,25547,1
tt2449606,"Adventure,Crime,Western",tt2449606,4.8,8,1
tt1223236,"Adventure,Documentary",tt1223236,7.6,5784,1
tt1517579,"Adventure,Documentary,Drama",tt1517579,8.2,25,1
tt1507933,"Adventure,Documentary,Family",tt1507933,7.6,9,1
tt2772780,"Adventure,Documentary,Fantasy",tt2772780,7.8,18,1
tt1513745,"Adventure,Documentary,History",tt1513745,5.2,5,1
tt5863880,"Adventure,Documentary,Horror",tt5863880,8.0,10,1
tt1508041,"Adventure,Documentary,Music",tt1508041,7.6,32,1
tt4662934,"Adventure,Documentary,Musical",tt4662934,6.8,17,1
tt1701226,"Adventure,Documentary,Mystery",tt1701226,6.3,138,1
tt1471181,"Adventure,Documentary,News",tt1471181,8.1,12,1
tt2076157,"Adventure,Documentary,Reality-TV",tt2076157,5.4,30,1
tt2124818,"Adventure,Documentary,Romance",tt2124818,7.2,169,1
tt4292554,"Adventure,Documentary,Sci-Fi",tt4292554,6.5,585,1
tt1530991,"Adventure,Documentary,Sport",tt1530991,7.2,339,1
tt1820592,"Adventure,Documentary,Western",tt1820592,6.9,25,1
tt1020559,"Adventure,Drama",tt1020559,6.8,509,1
tt0970179,"Adventure,Drama,Family",tt0970179,7.5,284869,1
tt0454876,"Adventure,Drama,Fantasy",tt0454876,7.9,535836,1
tt0490215,"Adventure,Drama,History",tt0490215,7.2,85242,1
tt0907305,"Adventure,Drama,Horror",tt0907305,5.3,840,1
tt1545295,"Adventure,Drama,Music",tt1545295,7.2,50,1
tt2182235,"Adventure,Drama,Musical",tt2182235,5.0,6,1
tt0477302,"Adventure,Drama,Mystery",tt0477302,6.9,93164,1
tt0337692,"Adventure,Drama,Romance",tt0337692,6.1,37886,1
tt0816692,"Adventure,Drama,Sci-Fi",tt0816692,8.6,1299334,1
tt1280010,"Adventure,Drama,Sport",tt1280010,6.3,162,1
tt0881320,"Adventure,Drama,Thriller",tt0881320,5.9,51318,1
tt1949597,"Adventure,Drama,War",tt1949597,6.5,11,1
tt1403865,"Adventure,Drama,Western",tt1403865,7.6,284034,1
tt0826823,"Adventure,Family",tt0826823,3.2,94,1
tt0814255,"Adventure,Family,Fantasy",tt0814255,5.9,165108,1
tt2078608,"Adventure,Family,Horror",tt2078608,4.8,9,1
tt5122374,"Adventure,Family,Music",tt5122374,5.6,800,1
tt1997289,"Adventure,Family,Musical",tt1997289,6.2,280,1
tt1669768,"Adventure,Family,Mystery",tt1669768,5.1,212,1
tt2117902,"Adventure,Family,Romance",tt2117902,5.0,38,1
tt2183034,"Adventure,Family,Sci-Fi",tt2183034,5.8,17627,1
tt3462828,"Adventure,Family,Sport",tt3462828,6.3,61,1
tt1886504,"Adventure,Family,Western",tt1886504,2.5,170,1
tt1170358,"Adventure,Fantasy",tt1170358,7.8,565563,1
tt2908048,"Adventure,Fantasy,History",tt2908048,3.0,48,1
tt1401143,"Adventure,Fantasy,Horror",tt1401143,6.7,23923,1
tt1746248,"Adventure,Fantasy,Musical",tt1746248,7.5,40,1
tt0926084,"Adventure,Fantasy,Mystery",tt0926084,7.7,425530,1
tt2976766,"Adventure,Fantasy,Romance",tt2976766,6.4,52,1
tt1736026,"Adventure,Fantasy,Sci-Fi",tt1736026,6.7,26,1
tt2579538,"Adventure,Fantasy,Thriller",tt2579538,6.1,12,1
tt6983064,"Adventure,Fantasy,War",tt6983064,6.7,6,1
tt1444680,"Adventure,History",tt1444680,5.6,659,1
tt1929407,"Adventure,History,Mystery",tt1929407,3.9,12,1
tt2776074,"Adventure,History,Romance",tt2776074,6.1,1337,1
tt1517506,"Adventure,Horror",tt1517506,5.2,497,1
tt1329404,"Adventure,Horror,Mystery",tt1329404,3.8,1124,1
tt1600439,"Adventure,Horror,Romance",tt1600439,5.6,666,1
tt1034385,"Adventure,Horror,Sci-Fi",tt1034385,6.0,9059,1
tt0858422,"Adventure,Horror,Thriller",tt0858422,5.6,87,1
tt1584747,"Adventure,Horror,Western",tt1584747,5.6,33,1
tt2759608,"Adventure,Music",tt2759608,7.9,14,1
tt5068674,"Adventure,Music,Romance",tt5068674,7.0,26,1
tt2948426,"Adventure,Music,Sci-Fi",tt2948426,4.0,181,1
tt7509680,"Adventure,Musical",tt7509680,6.7,7,1
tt1381773,"Adventure,Mystery",tt1381773,6.4,48,1
tt1337180,"Adventure,Mystery,Romance",tt1337180,6.2,13,1
tt1446714,"Adventure,Mystery,Sci-Fi",tt1446714,7.0,538720,1
tt1757936,"Adventure,Mystery,Thriller",tt1757936,8.2,17,1
tt4543548,"Adventure,News",tt4543548,6.7,52,1
tt1316072,"Adventure,Romance",tt1316072,7.6,346,1
tt3074366,"Adventure,Romance,Sci-Fi",tt3074366,8.3,6,1
tt2076788,"Adventure,Romance,Sport",tt2076788,4.6,17,1
tt3977806,"Adventure,Romance,Thriller",tt3977806,6.4,91,1
tt1342106,"Adventure,Sci-Fi",tt1342106,6.1,26,1
tt2124785,"Adventure,Sci-Fi,Thriller",tt2124785,5.4,16,1
tt2010919,"Adventure,Sport",tt2010919,5.2,10,1
tt1993421,"Adventure,Thriller",tt1993421,6.9,13,1
tt3205376,"Adventure,Western",tt3205376,6.9,38237,1
tt0996976,Animation,tt0996976,6.6,15,1
tt1049406,"Animation,Biography",tt1049406,6.7,146,1
tt1513891,"Animation,Biography,Comedy",tt1513891,8.2,13,1
tt2766004,"Animation,Biography,Crime",tt2766004,7.3,285,1
tt1567766,"Animation,Biography,Documentary",tt1567766,8.4,31,1
tt1621766,"Animation,Biography,Drama",tt1621766,7.3,526,1
tt2708602,"Animation,Biography,Family",tt2708602,4.8,16,1
tt4330400,"Animation,Biography,Fantasy",tt4330400,6.3,6,1
tt2086840,"Animation,Biography,History",tt2086840,6.4,25,1
tt1340803,"Animation,Comedy",tt1340803,4.8,766,1
tt0844993,"Animation,Comedy,Crime",tt0844993,4.8,11281,1
tt1863441,"Animation,Comedy,Documentary",tt1863441,7.7,18,1
tt1172587,"Animation,Comedy,Drama",tt1172587,5.7,1455,1
tt0837562,"Animation,Comedy,Family",tt0837562,7.1,204571,1
tt0892062,"Animation,Comedy,Fantasy",tt0892062,7.1,78,1
tt2966560,"Animation,Comedy,History",tt2966560,4.3,23,1
tt3712588,"Animation,Comedy,Horror",tt3712588,4.6,14,1
tt2322316,"Animation,Comedy,Music",tt2322316,7.6,231,1
tt1655413,"Animation,Comedy,Musical",tt1655413,6.3,6465,1
tt1546036,"Animation,Comedy,Mystery",tt1546036,6.2,3637,1
tt1214993,"Animation,Comedy,Romance",tt1214993,6.4,9,1
tt0915463,"Animation,Comedy,Sci-Fi",tt0915463,5.3,1178,1
tt1778359,"Animation,Crime,Documentary",tt1778359,8.4,29,1
tt1235830,"Animation,Crime,Drama",tt1235830,7.2,7992,1
tt0969345,"Animation,Crime,Music",tt0969345,7.0,1498,1
tt5714216,"Animation,Crime,Mystery",tt5714216,8.2,526,1
tt5432712,"Animation,Crime,Thriller",tt5432712,6.8,635,1
tt1664794,"Animation,Documentary",tt1664794,6.7,102,1
tt1719558,"Animation,Documentary,Drama",tt1719558,7.6,16,1
tt1588374,"Animation,Documentary,Family",tt1588374,8.4,47,1
tt3014250,"Animation,Documentary,History",tt3014250,7.6,9,1
tt1521660,"Animation,Documentary,Music",tt1521660,7.7,7,1
tt6067832,"Animation,Documentary,Mystery",tt6067832,8.2,1014,1
tt1506940,"Animation,Documentary,News",tt1506940,7.0,317,1
